



time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,angle_to_goal,distance_to_goal,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"225.741428429","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"42.691027051316304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"237.206143699","/home/SC-23/program/FM/FM_2/_FM.py","main","703",,,,,,,,,,,,"1008.5598560015184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.507906132","/home/SC-23/program/FM/FM_2/_FM.py","main","754",,,,"セットアップ完了",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.508416072","/home/SC-23/program/FM/FM_2/_FM.py","main","755",,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.513629726","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3283789830335735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.515302762","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"249.51991874","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3283789830335735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.521683365","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"249.526490038","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3283789830335735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.528595573","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"249.534621784","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3283789830335735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.536240841","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"249.541128806","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"-0.4644501033369379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.542580297","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"249.544402715","/home/SC-23/program/FM/FM_2/_FM.py","main","805",,,,"落下終了の条件を満たしました: 1/5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.550793058","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"-0.4644501033369379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.554153351","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"249.554728696","/home/SC-23/program/FM/FM_2/_FM.py","main","805",,,,"落下終了の条件を満たしました: 2/5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.560135435","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"-0.4644501033369379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.561910762","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"249.562551604","/home/SC-23/program/FM/FM_2/_FM.py","main","805",,,,"落下終了の条件を満たしました: 3/5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.567821367","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"-0.4644501033369379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.569381149","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"249.570138837","/home/SC-23/program/FM/FM_2/_FM.py","main","805",,,,"落下終了の条件を満たしました: 4/5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.575321993","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"-0.4644501033369379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.576597473","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"249.57716917","/home/SC-23/program/FM/FM_2/_FM.py","main","805",,,,"落下終了の条件を満たしました: 5/5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249.577417955","/home/SC-23/program/FM/FM_2/_FM.py","main","812",,,,"ニクロム線切断開始",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"279.577907165","/home/SC-23/program/FM/FM_2/_FM.py","main","824",,,,"ニクロム線切断完了",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"279.578457404","/home/SC-23/program/FM/FM_2/_FM.py","main","831",,,,"フェーズ2に移行",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"279.57877507","/home/SC-23/program/FM/FM_2/_FM.py","main","832",,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"281.591351258","/home/SC-23/program/FM/FM_2/_FM.py","accel","212",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"281.601501952","/home/SC-23/program/FM/FM_2/_FM.py","accel","223",,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,
"281.601942099","/home/SC-23/program/FM/FM_2/_FM.py","accel","224",,,,"motor: accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289.666618454","/home/SC-23/program/FM/FM_2/_FM.py","leftturn","260",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"289.685435374","/home/SC-23/program/FM/FM_2/_FM.py","leftturn","272",,,,,,,,,,,,,,,,,,,,,,,"-1","1",,,,,,,,,,,,,,,,,,,,,,,
"295.686926129","/home/SC-23/program/FM/FM_2/_FM.py","accel","212",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"295.699645853","/home/SC-23/program/FM/FM_2/_FM.py","accel","223",,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,
"295.700303477","/home/SC-23/program/FM/FM_2/_FM.py","accel","224",,,,"motor: accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"297.702869032","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.6844444444444444","0.3333333333333333","-0.3466666666666667",,,,,,,
"297.905048629","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.2011111111111111","0.27666666666666667","0.11666666666666667",,,,,,,
"298.106633527","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.21666666666666667","0.06111111111111111","-0.2511111111111111",,,,,,,
"298.308192375","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.01","0.4088888888888889","0.03888888888888889",,,,,,,
"298.50976261","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.13","-0.8933333333333333","0.035555555555555556",,,,,,,
